video_id,title,comments
qM1RWmgYlPU,Piti Sega - Yansley & Sega Nou Zanset (Official Music),"Avant Mo ekoute sega la  Mo fini koné ki li pou tamam 💃  Parcki sega nu zanzet avoye zis 🔥 🥵 | Zoli net , komie Piti Sega la met zt prezans❤🤣✨️✨️🔥 | Tres fier de voir que les Jeunes continuent de valoriser notre sega Mauricien. Bonne continuation ❤😘😍 | Mi roule mo ti sega toujours avec et grace a vous !! ..ca nout eritage MERCI.MERCI. ❤❤ | MO pas pou dan clips la MO loin Sega nou zenset MO ti la Dan  famille ❤❤ | Bravo la musik top bonne continuation  sega lagam ❤❤ | Double disque de lannee🎉🎉❤ | Quand sega nou zanset avoyé li avoy la flamme mem🔥🔥🔥 | Oui joli net sa Piti sega  yansley et sega nou zanset 🔥🔥 | Zoli net sa🔥🔥❤ | J adore continue comme ca la jeunesse les la bonne continuation yansley | Sega de l'année 2023 sa. | Mi adore ou sega le feu❤😘 | Bon contiation ban zeunes pointe aux piment fière de zotte 🎉❤ | Dife net❤‍🔥🔥 | Gro Sega ki ape bater🔥🔥 | Disc de l’année🔥 | 🎉🎉zolie zafer❤❤ | Difeeeee monn gagne gigi. | Kan badoudoum badam baté fer mw ggn gidi gidi ayoo✨️😂👌❤️ | Super concert aux Florilèges 🇷🇪 🔥 avoy séga la 🤩🔥 | 🎉 au moins n jeune ki reprend npu culture big up 🎉 | Sega nou zanset sa mamaa🫶🏻 | Avy li encr n sega de l'année 2k23❤️✨️ | Séga de l'année | Mo croire disc de L'année p re retourne dans pointe aux piments 👀💥💥 | fort boug la...🤍 | Bonne continuation ti frère | 🥵🔥 | 🔥🔥 | ❤❤❤❤❤❤❤❤❤❤❤ | Oui | 🎶🎶🔥🔥🔥🔥🔥 | Respe lekip 🙏 | Zoli sa | Top sega | ❤❤❤ | 🔥🔥❤️ | 💥💥💥💥 | belle que tu soi belle | 🎉 | 👍👍👍🔑🔑 | 🔥🔥🔥🔥❤ | 😍😍😍😍 | Love it | ❤❤❤🎉 | 🔥 | ❤ | ❤ | ❤❤❤ | 🔥🔥🔥♥️♥️ | 🔥🔥🔥❤️❤️ | ❤❤❤❤❤❤❤❤❤❤❤❤❤ | ❤❤❤❤ | 🔥🔥❤️"
_Hy8XoSoJaI,Fer Fass [LIVE] - Clarel Armel ft Sega Nou Zanset,Big up sega nou zanset ene mari fierté sa trouve 1 bane jeunesse p sante avec1 grand artist kouman Clarel armel ❤❤❤ | Sega lalfammm zolii sa❤ | La flamme sa big respé a zot🔥🔥 ti pou ene grand plaisir pou si ene zour zot ine invite mwa pou zwé avek zot🎵 | ❤
oeIpKpbyYjo,Afiet ~ nouvo morso🔥,Bonne Continuations Yansley Top Mann 👍👌💙🎊🎊 | Topo nete mo Afiete dan mo le bras | Avy liii dOw | Pa trop tarder ar sa do❤❤❤❤ | Mo encore p atan sa morceau la🥹 | Ey nou en 2024 la avy li dowww pa p kav p envi tann sa❤❤ | Super | Top groove sa... Keep it running | Fort net sa yansley | ❤❤❤ | ❤️ | Bro kan pou sortii ??? | Whtney Montngord Bienvenue dans le presse-papiers Gboard. Le texte que vous copiez est enregistré ici.Bienvenue dans le presse-papiers Gboard. Le texte que vous copiez est enregistré ici.Bienvenue dans le presse-papiers Gboard. Le texte que vous copiez est enregistré ici.Bienvenue dans le presse-papiers Gboard. Le texte que vous copiez est enregistré ici.Bienvenue dans le presse-papiers Gboard. Le texte que vous copiez est enregistré ici. | ❤❤❤
VQ2EgfK27ec,Motile Li - Yansley & Sega Nou Zanset (Cover de Yoan Cathrine) Video Officiel,"Tro top joli sega mo adore li bne contuniation bane jeunes,zot pou arive loin ❤❤❤❤❤ | Yansley le roi du Sega kontinié koumsa zot ena enn zoli karyièr | Entre tou sa zeness ki p evoluer dan dancehall la... Yansley p evoluer dan sega et piti la li deza 1 bon.. bravo 🎉 | Trop top jadore bne contuniation les jeunes zot pou arive bien loin.❤❤❤❤ | Super tres belle reprise j'adore ❤❤ | Yansley nu leroi💯 | J'adore trop cette chanson. ❤❤❤❤ pure et joviale. Cette chanson me fait pensée a mon chéri❤ | Bravo trop top la musique feu🔥🔥bonne continuation big up | Zenfant lacote re pren sega nous encetre ❤ | Ca reprise .. car mo rapelle cz quan mo peti .. avec mon tonton et mon momon.. grand merci a toi | Difeu sa bro | Tama tou bro❤❤❤❤ | Very nice and 3rd to you | Wow super joli ti sega avec la game❤ | Francement de dire to fort frere | Zis WoW | Mo sagasa❤❤❤❤❤❤❤merci😅 | Fannnyyyyyyyy 😂❤❤❤❤❤❤ | Best❤❤❤❤❤❤❤❤ | Zoli sega sa😢😢🥰🥰 | Bebet sega sa ton groove net mechant mechant bravo ti frere | Pointe aux piments en force🎉🎉🎉 | Woww | ❤Oui sa c sur Sega de lanner sa | 💯 | ❤❤❤❤❤ | ❤❤ | His head and he is still | A good | 🔥 | ❤❤❤❤❤❤❤❤ | Qwé vé dire Motile Li ?  Au pasaze zolie séga. Nous écoute depuis la réunion 🇷🇪 | Said I can | 👍 | Adad | ❤ | Ask him to send a few | ❤️❤️❤️ | Ki Melody Jean Claude sa | Emmanuelle Street | 😮 | Renee Mews | Se and the 3rd | C pa com jean Claude Gaspar ""parole misié bob... | Qsad | Tro top joli sega mo adore li bne contuniation bane jeunes,zot pou arive loin ❤❤❤❤❤ | ❤❤❤❤ | ❤ | ❤❤❤❤❤❤"
cGpYZJhVucc,Yansley & Sega Nou Zanset - Sakouy Li Amor (Official Music Video) - Album La Flamme Sega,"Bsr enn gran lomaz ki tonn fer po nou bann zansèt. Sega nou dinité nou la Fors. Mo mari kontan ki enn zénes sant sa o é for. Bravo | Mari top mwa ki ene zenfant pointe piment sa ferr plazir ek Sega de l'année nou ziguilé amor le top bonne continuation 💪🏼💪🏼💪🏼🎆🎆🎆🎆🎉🎉🎉🎉🎉🎉♥️♥️♥️ | Si gagne tou zenes cuma toi mai zamé nu sega pu mort .. zoli lavoix 🥰 zoli text 😘 zoli clip 🤩 et zoli garson 😍 keep it up zenes moricien 💯👏🏼 | La flamme sa sega la 🔥🔥🔥 nous tout bisin ziguiler pou sa sorti disk de l'année 💯🔥😎 | Qui vote pour disc de l'année 💯💥 Nou zigil li Amor❤ | Ca fait des années qu'on a pas entendu un séga avec tant de charme qui nous ramène directement vers notre île paradisiaque et nous fait penser a cette période festive de fin d'année. Je me rappelle très bien que le grand Sylvain Callychurun avait ce talent d'interpréter ses chansons  avec la meme énergie. On n'oubliera pas l'immortel Ravann apé bate. Chapeau a ce jeune groupe avec leur chanson qui mérite d'être élu Disque de l'année 2022. | Ene mari ti pipe sa... 5 fois par jours mo ecoute sa... Tamam net... Sega de l'année 2022... to bon la dan Son, parole, clip et meme la joie de vivre du chanteur. | Zoli ti son ! ""Disque de l'année"" lor tou radio 💪🏽👌🏽👏🏼👏🏼👏🏼 Tamam sa ! 😁😁😁 | Sega Nou tradition . Merci Bann zenn  continuer coumsa .tout Mo famille p amizer et Pou Nou zot meriter Gagne Disque DE l'annee 2022 .Bonne continuation,🥳🥳🥳🥳🥳 | Fiere de zot💯 1 son ki tasse dan latet 👌❤️ La flamme sega🕺 | Merci pour l'ambyans ki zot fine meter hier pour laniverser mo tifi, merci l équipe séga nu zanset...de la part de Vinesh et moi même❤❤❤ | Longtemps mari longtemps meme mo pas ggne enn mari nissa ek enn sega coumsa... Dife sa mo frer,contigne fr nou vibrer ar nou folklore 🙏🏿🙏🏿🙏🏿 | Super sega lenbianss mo gne frison sa fer mwa zigilé lor séz sega de l'année sa mari jolie le clips et nou atane prochain sega bne continuation a tout lekip✌🏾💯🇲🇺 | Jolie ti son de nous vrai sega Mauricien qui faire le corps zigiler. Tres belle interpretation et Bonne continuation ❤️ | Laflame premiere fois mo ecoute sah dans n premiere communion mo oblige ale search li sur YouTube.....❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥 | Sega de l'année 2022💯💯🔥❤️❤️ toulé weekend zis sem baté dan vilaz 👏👏👏kontinié manz ar zafer la 💪💪 son top👍 clip top | Saa wuiii sa santeee.....paaa sa bannn ki sante nimporte laaa.....bonne continuation les gars🥰🥰🥰🥰🥰🥰🥰 | Trop top cette chanson samem ki pou disk de l'année sa c'est sûre 🥰❤ | Joli sega , mo souhaite toi bonne chance . Sega nous culture sa . | Sa sega la mons, pou moi c’est sega de l’année Periodt ! | Meilleur sega 2022. Super favori pou Sega de lannée. | Bien zoli un sega avec beaucoup de charme❤️❤️🇲🇺🇲🇺🇲🇺 roulé mama 🎉 | Samem ki fer fierT nou grand port ❣️❣️ | Li bien bizinn ggn sa disc de l'année la | Fran fran  tou 1 extra bon sega zoreil applaudi kan tane sa   ❤❤❤ | Rien à dire et mo sire ki la suite pou encore pli bon 🤝🏾🔥 Bravo à zot | Mo disques de l'année bravo zeness bon continuation joli sega | Difeeeeiiiiiiiiii 😘😘😘🥳🥳🔥🔥🔥🔥🔥🔥🔥 sega de lannee pena baré | Disque de lannée mes bébés adore cette chanson bravo bien reussit ❤️🙏🔥 | Sa faire plaisir qui sa l'année la disque de l'année ene sega franchement fr nou revive bravooooo | Wow zoli sons...sou pas sou Lipied la charyé mem..Bravo❤️ | Moi florency Bernard île réunion merci beaucoup❤ bravo | Merci au Molière de la chanson et même du sega Mr Denis Frigo et toute l'équipe qui travail autour de cette jeunesse mauricienne qui ont besoins des anciens comme le sega de nou zanset | Sa mari nissa sa cintinuer mange are ki li bro ❤️❤️❤️🔥🔥🔥🇲🇺🇲🇺🇲🇺🎼🎼🎼🙏🙏🙏 !!! | Sa saga de lanne zot PA dier mw n lo guete  trouve sa zoto merite sa zot | Sega de lannée sir SA man big up Mari zoli morso sa 🔥🔥🔥 | Bon ti sega po apprécié. Bonne continuation à ces jeunes de la chorale pleins de talents 👍🏻 | Jolie  sega 😍  belle ambiance👍👍 🔥bonne  continuation  pour la  suite | Très bon! Chant et musique au top! Signé: un martiniquais! | Disc de lannée ha shirrr😍❤🔥!! | Sa santer la ler ou tan sa ou pa kapav pa danser sa....Santer bien zoli❤🌴bravo frerela👊🤘 | Zoli Sega🔥zoli l'ambiance 🔥Sega de l'année 🔥🔥🔥🔥 | Shiiir ki sa p gagne disque de lané 🎉🎉🎉🎉💯💯💯💯💯🔥🔥🔥🔥🔥🔥🔥🔥 | Joli Sega  oui mérite Sega de l'année ❤️😘😘 | Sega de lannée❤❤❤..cest sa bane kaliT sega nous culture la ki nou zenfant bizin aprane.  Bravo et felicitation,tout zoli ladan nanier pas tirer.  😍😍😍 | Depuis collège, Triolet SSS to ti ena ene mari la voix toi, sans oublier sa l’ambiance to ti p meter chaque music day. Sega ti toujour dans zot du sang 🔥, disque de l’année 2022, bonne continuation 🎉💯🔥 | Serye sa bann zenn Kontinie lev nou sega lao 🔥👏🏼 | WON THE DISC DE LANNÉ | Sega 2023 bien amuser Top Mann ki nouveau p arriver Familo😂😂 🎊 🎉 | Joli sega de France je vous regarde et cela me  fait  un grand plaisir ❤ | I love your song so nice gives the festive vibrations merry christmas and happy new year 2023 to yalllll | Félicitations 🎊 à toi sais la première fois que  jantan chanter 🎶 j'adore 💕 gros bisous de la Réunion 🇷🇪 et bonne continuation à toi | Bravoooo 🙏🙏💃💃💃🕺🕺🕺mo sega  mo p zigile li amor la trop top 🥰❤ | 1 meilleur sega mone ecoute de ma vie . Mo mama so laniversaire zordi mo p dedie li sa super sega la allan de petite riviere | Très belle interprétation de cette chanson. On reconnaît bien l auteur compositeur ds ses textes et mélodies qui nous fait chaque fois vibrer.  ❤️👏👏👏encore pour le clip et l interprétation | Mo present zot mo respe bann zen ki sort dan fon mo leker BRAVO 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏 👏 | Disque de l'année 2022 ❤️🥳🎉 | Nou pena narnier pou dir après sa pena aken debat a faire  sa boug la fort fort,sa sega la  si to  reste assizer kan sa p jouer savedir to ene paress,ey mo bane cher compatriotes bonne année  2023 a zot, moi loin mais sa sega la ine fer nous réveillon bien passé..... | Banker sega de l'année | Disque de l’année 🎉 | Bravo disc de lanner sa baba😍😍 | La flamme sega tiamba mo talon🔥❤️ | Très jolie sega yansley ❤️🔥✨🎶 et bon continuation 💯✨ a toi et surtout continue met nous dans la vibe 🔥 | Mo mari  contan sa  santè la  amor.merite disk d lanee🔥❤ | Super bravo sa fer lontan mo pa in tende ene zoli sega coumsa couma mo kontan. Parole musique tou top. Non nu pa pu kiler devan nu sega zame. | 2023 I'm still here. I'm playing it so that' my children know this legend. So that one day they can transfer it to my grandsons and daughters ❤❤ | Ene SanT ki sifone nu lekor 🥰 Big up 👏🏻 dan ene lepok kot ena buku sanT royos , sa Son la amene ene bouffée d’air frais ❤ | MERITE DISQUE DE L'ANNÈE 2022 . VRAIMENT TO SANTÉ MARI ZOLI. BRAVO | Tou morisien ki kon apresie sega pou dir ki sa garson la se enn vre star. Li merit sega de lane. So style sante, so la vwa, so kadans li inik. Ale Yansley nou pou vot pou twa dan Flacq. Mo fir ki to finn vinn mo kamwad. Mo pou donn twa tou mo soutyen. | Sega l'année. Merité sa😍😍❤ | DISQUE DE L'ANNÉE! 👏👍👌🎉🎊🎇 | Mo Sega préférer en ce moment. Sega de l'année 2022. Mo écoute li plusieurs fois kan Mo dans train | best de best sega <3 | pou n zen ki p lance li dans sega, sa fer mari plaisir, surtout parol bon text bon, keep it up, c ban zeness mem ki bisin relev sa flambau la pou sega la pas perdi so racine. | Big up Denis frico pou so text | Sa Sega la fer nou resenti bku emotions 😍 | Mo pou vote sahh pou disk de l'anne bro🇲🇺♥️😊 | Toena talent man ❤ Manz r li. | Sega de l'année assurée🔥❤️ | Pena pli bon ki toi la bro🔥🔥💕💕Bonne Année 💕💕🎉🎉✊🏿✊🏿 | Bravo zoli sega zoli parole .. keep it up | Zoli net. Disque de l'année in process !! | WOW trop feu sahhhhh superbe voie hein Yansley bonne continuation à toi l'artiste keep it up 😮😮😮😮😮😮😮😮😮😮😮😉😉😉😉😉😉😉😉🔥🔥🔥🔥🔥🔥🔥🔥🔥👍👍👍👍❤❤❤❤❤❤❤❤ | Wow jolie Sega bravo li mérite so prix 💪 | Disk de l'année direk zafer la zis Mons🔥 | Mo kontan music 🎶 ❤ li local sa buku artists ki kpv changer sa .SA BIEN BIEN | Sega de l'année sa 🔥💪 | Mo adore sa sanT la li met dan lazwar🥰big up | To mm pou gagn disc de l'année 2022 la po. Ton Simon p mari kas difé ek sa lor radio plus.. 💯💯mo mm mo tane sa lor chantier mo zigil à mort.😂😂😂 merci bro. To morceaux met la vibe et fer blier problem. Continier piti..🥰😘😘 | Mari zoli Sega..  fer moi mazine lepok cassiya et tou bane grands artists nu ti ena avant. Bien fait. Sameme meilleur la 🤩 | Disque de lanee doo💥❤️ | Sa ki bizin fr  disk de lanèe li vraiment merite sa ❤🔥🔥🔥🔥🔥🥳🥳🥳 | Mo adoré sa là music la a mort😂😂❤❤❤😍big up a vous | 🥰zoli sega💃big up💃 | Song of the year 2022!!!❤ top net | Disk de l’année sa 🔥🧏🏽‍♂️ | Bravo yansley sega nou zanset  rendez-vous sur radio plus radio one kool fm et radio maurice de la part de bryan claudette et dany | Tou les jour sahh bateii lor radio plus  apres 6.30 🇲🇺 | Cherche producteur pour diffusion en Europe !!! | Just ❤️❤️❤️. Tsara eh 🇲🇬. Mo pe ggn frisson🇲🇺."
F04rBvVeQTk,reve nou zanset~ Intro(cover),Would love to hear this in full 🔥🔥 | 🔥 | Batterie la ale sa a laiz net. Fort man !! | Tamam sa lekip | Bon net sa
2TTxh66dLOs,Bondier apel nou,
aLx0y05lDco,gros sega tipik🔥,
39uWlEU_Vvw,kunal heereelall ft sega nou zanset,How to get
Co60yFhH7cw,Sega nou zanset @City sport Grand baie🔥,❤❤❤❤❤❤ | 🔥🔥 | C’est quoi le titre de la chanson?😊 | Sega sa
JbKuqx5PzqA,La flamme sega{teaser},"Pou 1 group zenesse tir 1 son coumsa mari top extra vibe lontan pas gagne 1 bon sega capave kass les rein coumsa la   ❤❤❤❤ | zoli sante, titre prometteur , sa séga zoli vibes !fier bann zeness kuma zot 💯🔥🔥🔥 | Zfr la dife sa frerla,sega la tamam net,to ena 1lavenir prometer 2vn tw🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥✌✌✌✌🤘🤘🤘🤘🤘 | Big 🆙 Yansley mo vrement apresie Sa faire plaisir.... Tane bane son cousma zoli sega bien avoye saa... Continier amène sega la la haut 🔥🔥🔥 | Waii bel nissa pas kav pas danser sah sega la jadore😍😍👌🔥🔥🔥🔥 | Bonsoir sinn sa oui gro gro vibes.. big yansley💯🔥👋 | Topo sa mo frere...xot fort...🔥🔥🔥 | Mo Ti p atan li vini et  line resi vini bravo enn son ki full lambians zafer la difé🔥 | Avy ful la zafr la mnste bn zen bn cntignatiôn | Kyarah yohbibjtib Ghana 😊😊😅 | Tamam net zoli sega ❤🎶🎧💃🏻🔥🔥 | N mari sante sa ❤ | Ler m met sa Dan bal tou dimn leV danC❤️🥵 | Sa sante la tass dans la tete net...zoli zafer net🔥🔥 | Mari top joli sega et zot n ban joli garçon  tout. Bonne continuation | tro top | Mo ti p atan sa avec impatience | sega nou zanset🔥 | Love it❤ | SA SEGA LA TASS DAN LATET FRANTOU GRO BIG UP🔥MANZ AR LI CONTINYÉ APPORTE NOU BANE LAMISIK LOCAL LAO🔥SAKOUYE LI AMOR🔥🔥BLESSING🙏🇲🇺🔥 | Fiere de zot ❤🔥   Respe le bro🔥Fr ti ledroit la vibre p.a.p🔥❤🇲🇺 | J'adore cet chanson 👍👍 | Zoli Sega sa broO 🔥🔥🤩❤️monss | Top samo cam fe | Sega delane mocam | Waiiiu | Tasse dan latet gramatin tarto mo bizin santé sa ... Solo sega | 🔥🎤❤️🇲🇺 | 😍😍🔥🔥 | 🥺😍❤🔥🔥 | 🥵❤🔥🔥 | ❤❤❤🔥 | 😅❤"
arGuh4nAPoY,ti poket(cover) - Sega nou zanset,Top la reprise !!! Zot tous met l'ambiance et zot tout ena ene sourire surtout le guitariste❤️avec un grand sourire | Zis monssss 👌🔥🔥 | Bien Jolie chante bravo avous | Beautiful keep it up ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😍😍 | 👍👏❤❤❤ | Mi adore !! Sega les dans mon sang  !! Fait rouler  !! Ca même  mout racine  . Merci  Merci | Bel ambiance top | Bravo | Monse net🔥🔥🔥
6iBYPfwqHE0,sensation sega @SunsetBoulevardTheMusical,
HsvvXVkKGjo,La flamme sega - Yansley & Sega nou zanset En Live,"Mo ban ti garson adoré🔥🔥 | Zoli nett .❤🔥🔥🔥🔥 | La Flamme 🔥🔥🔥 | ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ | Bonjour, vous êtes super c'est un très beau séga. Pourriez vous mettre les paroles en lignes s'il vous palît ? merci. | Je vous adore ❤❤❤❤ a | Bonne continuation 🙏🏽🔥🔥🔥 | Album svp ou met li lor spotify svp | Album svp ou met li lor spotify svp"
A5N4N5T_snk,La flamme sega - Yansley(sega nou zanset) bientôt disponible🔥,Sa santé la pou dis de ľanné | I am from water I know the like it or snot do you like it or not my song okay understand peoples   Do | Kan sant la pe sorti?? | Kn p sortiii sa album la???
QymLKdKx9O0,Sega nou zanset en action,
vbX-3R1XZvc,Cabos cozer sky to be ft sega nou zanset,Top net sah SKY Kot zet li tamm mm Persevere grand frer pou touletemp  lah pou soutenir toi | Sky quoi ki to santer to top jadoreeeee 🥰😇😍😍😍😍 | Cote liale..sky monstre | Super (Bravo) | Zoli zoli j'adore ♥️ | Malade sa sky
zZ9wjhQ0Mwo,Renel trapu accompagner par sega nou zanset🔥,
k1mc3h8agPo,Sega Nou Zanset ft boyzini,"Czdrr morceau misie ena bon ladan😂❤❤Sega saaaaaa😊😊😊 | Boyzini wowww tro top avk le groupe... L'ambiance topo... Mauricien sa mm nu folklore... | Boy to bizin avoye ene version coumesa.. mari nissa net.. 🤗🤗🤗 | 😊😊❤ | La flamme👍🔥❤ | Ah oui bel ambiance | Parol | La flamme sega 🔥🔥 | 🔥🔥🔥🇦🇲🇨🇦 | 🔥🔥❤❤❤👍 | ❤️🔥🔥 | Top titre svp, merci | Zoli sega so titre svp"
nhxe7B9FYwk,hommage a Lin - Sa pas zot traka(cover),"Respect, from the UK! | Lin mem pe Santer la bravo❤️🙌 | Sa groupe la  fort net sa | Bien faire sa 🔥 | Respect mo mizo avy li dowww ✌🎶 | You are Amazing Guys Big Up 💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻❤️❤️ | Top net | Mari bon cousin 🇷🇪🇲🇺 | Wow  bravo big up 👏👏👏 | Enn bonne action ki zot inn fer la😊😢😢💖❤ | Kontinie manz ar li😌🌟🖤 | Bel hommage  pour  notre  ami  lin bonne  année  a zot | A zot l honneur  !! Jeunesse la releve pou zote !! Fait roule nout sega!! | Kav ggn parole la slvp🥺🔥 | Très très joli Sega c vraiment TOPO et jadore♥️ | Respect🙏❤ | Jadore 🌺❤👏🏽👏🏽👏🏽👏🏽 | Bonjour  Bonne annéec'est disque de l'année  s'il-vous-plaît merci | Big up | 🔥🔥🔥🔥🔥 | Son la fort net ! Zoli hommage | Magnifique 😍 | Respect❤❤ | Seryer lekip | Super bravo | Fort..❤❤❤ | ❤️❤️❤️❤️ | ❤💙🙏💛💚 | 🥺💯❤ lin à jamais dans nos coeur | Nice net ki note sa | ❤️🥺🔥 | Topo | ❤️❤️🙏🏼 | Santer la so tire kiete SVP | Amazing  je suis tres fier de vous ;) | Homage a lin | Group sega la couma apeler?!"
ro0eJo2kIBY,Animation de Sega Nou Zanset a l`hotel Lagoon Attitude,
378SEraixHM,Presentation de lequip Sega Nou Zanset,Nous zeness mo fiére 🙋💖🥰 | Trop fière de vous l’équipe ❤️🇲🇺💥 | Tro top nous sega | Top | Mon préféré reste alvin 🥰🥰 | Courage Mauritiens. | Jolie🌹
dgb-hI4xgQY,Sega Nou zanset en action - Idian wedding,Vraiment top ❤❤❤❤❤ | La vidéo est sympa et intéressante 😍😍
gHieM7dQZqU,Sega Nou Zanset @ Radio One,
l6C1Rrqe7Ug,Sega Nou Zanset - Indian Wedding,This sega group is mari. They should come over to Uk. They will become famous over here ❤🔥 | ❤❤❤
E87hjQJV63w,Sega Nou Zanset - soley 6hr(cover),
